Agent,Trend,Signal_Stage,Key_Evidence,Product_Category,Retail_Action,Timing_Window
YouTube,Trail Running in the Alps,Strong & Growing,"Surging video content across DACH channels; buyer at Bergfreunde confirms trail/running footwear is top growth category; On / Salomon / Hoka dominate reviews",Trail & Running Footwear,Deepen trail shoe assortment now — especially multifunctional lightweight models,Immediate
YouTube,Via Ferrata,Growing,"Record participation growth in CH/AT/FR/IT in 2026; tutorial and gear explainer videos proliferating; gateway activity with low barrier to entry","Helmets, Harnesses, Via Ferrata Kits",Build complete via ferrata starter kit offering — clear assortment gap,6–12 months
YouTube,Packrafting,Weak to Growing,"Swiss packrafting tours being logged on Komoot; YouTube trip content feeding curiosity; very few Swiss retailers stock meaningfully",Packrafts / Dry Bags / Paddles,Watch closely — pilot with 2–3 SKUs,12–18 months
YouTube,Ultralight Backpacking,Growing,"Sub-kilogram base weight content gaining traction in German-language outdoor YouTube; steepest expansion trajectory on trail infrastructure","Ultralight Tents, Packs, Sleeping Systems",Expand ultralight range across tents / packs / sleeping systems,6–12 months
TikTok,Gorpcore → Quiet Outdoors Evolution,Strong (maturing),"1.2B+ TikTok views on #Gorpcore; evolving in 2026 into Quiet Outdoors — muted technical gear usable from trail to office","Technical Outerwear, Trail Shoes (lifestyle)",Stock Salomon / Arc'teryx as lifestyle picks not just performance; merchandising matters,Immediate
TikTok,Arc'teryx & Salomon as Fashion Objects,Strong,"Celebrities (Hadid / Jenner) spotted in Gore-Tex shells and Arc'teryx daily; Salomon XT-6 explicitly a fashion item on social","Arc'teryx Shells, Salomon XT-6",Lifestyle merchandising and storytelling — position as fashion alongside performance,Immediate
TikTok,Swiss Alps as TikTok Travel Backdrop,Growing,"Lauterbrunnen / Grindelwald / Eiger viral via Wimmaweh trend; international audiences pulled toward Swiss alpine content",Swiss Trail & Hiking Gear,Lean into Swiss trail identity in product storytelling and visual merchandising,Immediate
TikTok,Post-Gorpcore Natural Aesthetic,Weak Signal,"TikTok creators declaring gorpcore dead; signals pointing toward Japanese-influenced minimalist mountain wear and natural fiber tech gear","Merino / Natural Fiber Apparel, Minimalist Footwear",Pilot lifestyle merchandising of natural-fiber-forward assortment — window forming now,12–18 months
Market Reports,Trail & Running Footwear,Market Proof,"Running +21% / Bike +20% / Sports Style +16% at retail POS (ISPO 2025 buyer data); outdoor category +12% overall",Trail & Running Footwear,Win this category before mass retailers close the gap,Immediate
Market Reports,Merino Wool & Natural Fibers,Early Adoption,"Consumers actively researching merino base layers; Swiss brands (Mover) producing plastic-free natural fiber outdoor apparel","Merino Base Layers, Organic Cotton Mid-layers",Build curated natural fiber base layer story — demand ahead of shelf depth,6–12 months
Market Reports,Water Sports & Backpacking Equipment,Growing,"2026 OIA report identifies water sports / backpacking / gear maintenance as pockets of growth in otherwise declining equipment category","Packrafts, Backpacks, Dry Bags, Repair Kits",Prioritize these sub-categories in buying — outperforming the broader equipment market,6–12 months
Market Reports,Swiss Outdoor Market Growth,Structural,"Swiss outdoor equipment market growing at 5.82% CAGR to $243M by 2028; premium positioning and specialist knowledge are key differentiators",All Categories,Maintain premium specialty positioning — mass assortment is not the winning play,Ongoing
Synthesis — Rank 1,Trail Running Footwear (multifunctional),Market Proof,Confirmed across all 3 agents — YouTube video surge + social lifestyle signal + hard retail sales data,Trail & Running Footwear,Stock deep now across multifunctional trail/road hybrid models,Immediate
Synthesis — Rank 2,Via Ferrata Starter Kits,Early Adoption,"YouTube tutorial growth + alpine tourism record numbers + clear assortment gap at Swiss retailers","Harness, Helmet, Via Ferrata Kit (e.g. Petzl)",Build complete accessible kit — first mover advantage available,6–12 months
Synthesis — Rank 3,Merino / Natural Fiber Base Layers,Growing Signal,"Consumer research behavior confirmed in market data + post-gorpcore social aesthetic pointing toward natural materials + Swiss brand activity","Merino Base Layers, Wool Mid-layers",Curated assortment with strong material storytelling,6–12 months
Synthesis — Rank 4,Quiet Outdoors Aesthetic (post-gorpcore),Weak Signal,"TikTok gorpcore death signal + Quiet Outdoors terminology emerging + celebrity adoption of muted technical gear",Technical Lifestyle Outerwear & Footwear,Pilot lifestyle merchandising — watch 6 months for confirmation,12–18 months
Synthesis — Dark Horse,Packrafting,Weak Signal,"Komoot activity data + YouTube trip content + water sports growth in OIA report — niche but no Swiss retailer owns it yet",Packrafts / Paddles / Dry Bags,2–3 SKU pilot — first Swiss specialty retailer to own this category wins,12–18 months
